id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,16,24,168936658,0,1,1000,144
1,0,0,24,16,1662320342,800,1,1000,144
2,1,3,3,25,6790445,49,9000,0,30
3,1,2,25,3,93209555,1000,10,1000,14
4,2,5,27,28,1064312,1000,1,0,144
5,2,4,28,27,18935688,1000,10,1000,14
6,3,7,27,25,11711178,1000,1,0,144
7,3,6,25,27,288288822,1000,10,1000,14
8,4,9,10,32,4921973,1000,1,0,144
9,4,8,32,10,45078027,1000,10,1000,14
10,5,11,24,35,4302071,800,1,1000,144
11,5,10,35,24,152622929,1000,1,1000,144
12,6,13,37,33,3622710,1000,10,1000,14
13,6,12,33,37,46377290,0,0,1,40
14,7,15,33,39,8110421,0,0,1,40
15,7,14,39,33,91889579,1000,10,1000,14
16,8,17,8,45,1785427,200,1,1000,40
17,8,16,45,8,18214573,1000,1,1000,144
18,9,19,49,40,11598223,100,100,1000,144
19,9,18,40,49,188401777,1000,1900,1000,144
20,10,21,46,51,1008215,1000,1,1000,144
21,10,20,51,46,18991785,1000,1,1000,144
22,11,23,54,55,8794387,1000,1,1000,144
23,11,22,55,54,80346613,1000,1,1000,144
24,12,25,54,57,3339482,1000,1,1000,144
25,12,24,57,54,196660518,1000,10,1000,14
26,13,27,63,64,70114284,0,1,1000,144
27,13,26,64,63,929885716,1000,1,1000,144
28,14,29,54,67,279140,1000,1,1000,144
29,14,28,67,54,125911860,1000,1,1000,144
30,15,31,63,70,28441018,0,1,1000,144
31,15,30,70,63,971558982,1000,1,1000,144
32,16,33,46,45,4273784,1000,1,1000,144
33,16,32,45,46,245726216,1000,1,1000,144
34,17,35,79,63,3881612,1000,1,1000,144
35,17,34,63,79,296118388,0,1,1000,144
36,18,37,46,49,24145064,1000,1,1000,144
37,18,36,49,46,875854936,100,100,1000,144
38,19,39,87,24,27769343,1,8,1,64
39,19,38,24,87,322230657,800,8,1000,144
40,20,41,10,80,18265370,1000,1,1000,144
41,20,40,80,10,281734630,1000,10,1000,14
42,21,43,87,80,4765939,1,19,1,40
43,21,42,80,87,395234061,1000,10,1,14
44,22,45,27,80,36978741,1000,1,1000,144
45,22,44,80,27,363021259,1000,10,1000,14
46,23,47,98,99,30893292,1000,1,1000,20
47,23,46,99,98,467871708,1000,1,1000,144
48,24,49,54,46,3885080,1000,1,1000,144
49,24,48,46,54,263475920,1000,1,1000,144
50,25,51,54,113,2718500,1000,1,1000,144
51,25,50,113,54,41780500,1000,1,1000,144
52,26,53,46,126,4498627,1000,1,1000,144
53,26,52,126,46,43501373,1000,1,1000,144
54,27,55,127,115,14257531,1000,1,1000,144
55,27,54,115,127,385742469,1000,1,1000,144
56,28,57,76,77,90553332,1000,1,1000,144
57,28,56,77,76,909446668,1000,1700,1000,30
58,29,59,87,137,3813200,1,8,1,64
59,29,58,137,87,41622800,1000,1,1000,144
60,30,61,10,108,12825345,1000,1,1000,144
61,30,60,108,10,187174655,1000,1,1000,144
62,31,63,24,108,12898673,800,1,1000,144
63,31,62,108,24,187101327,1000,1,1000,144
64,32,65,141,49,16074199,1000,100,1000,144
65,32,64,49,141,283925801,100,100,1000,144
66,33,67,147,2,25611237,1000,1,1000,144
67,33,66,2,147,374266763,0,1000,1000,9
68,34,69,148,63,771866,1000,1,1000,144
69,34,68,63,148,19228134,0,1,1000,144
70,35,71,148,63,2925416,1000,1,1000,144
71,35,70,63,148,27074584,0,1,1000,144
72,36,73,54,149,1208969,1000,1,1000,144
73,36,72,149,54,18791031,1000,1,1000,144
74,37,75,46,149,1565658,1000,1,1000,144
75,37,74,149,46,18434342,1000,1,1000,144
76,38,77,87,108,9279526,1,8,1,64
77,38,76,108,87,190720474,1000,1,1000,144
78,39,79,123,130,1218154953,1000,1,1000,144
79,39,78,130,123,11019042047,1,1,1000,40
80,40,81,54,155,52642,1000,1,1000,144
81,40,80,155,54,19947358,1000,1,1000,144
82,41,83,24,108,5775924,800,1,1000,144
83,41,82,108,24,194224076,1000,1,1000,144
84,42,85,46,45,65122321,1000,1,1000,144
85,42,84,45,46,934877679,1000,1,1000,144
86,43,87,40,108,15885376,1000,1900,1000,144
87,43,86,108,40,184114624,1000,1,1000,144
88,44,89,165,24,10621880,1000,1,1,144
89,44,88,24,165,335056120,800,1,1000,144
90,45,91,46,165,8753232,1000,1,1000,144
91,45,90,165,46,91246768,1000,1,1000,144
92,46,93,150,40,301032473,99,1,1000,144
93,46,92,40,150,2998967527,1000,1900,1000,144
94,47,95,170,150,1830865,1000,1,1000,144
95,47,94,150,170,38169135,99,1,1000,144
96,48,97,54,172,20923698,1000,1,1000,144
97,48,96,172,54,212834302,1000,100,1000,144
98,49,99,175,8,634403,1000,1,1000,144
99,49,98,8,175,123931597,200,1,1000,40
100,50,101,115,180,36915735,1000,1,1000,144
101,50,100,180,115,763084265,1000,1,1000,144
102,51,103,54,188,2414444,1000,1,1000,144
103,51,102,188,54,67585556,0,10,1000,34
104,52,105,58,189,9051889,1000,1,0,144
105,52,104,189,58,216472111,1000,10,1000,14
106,53,107,194,40,248873483,1000,10,1000,34
107,53,106,40,194,4751126517,1000,1900,1000,144
108,54,109,95,195,76610360,1000,1,1000,144
109,54,108,195,95,698250640,1000,1,1000,144
110,55,111,156,77,89977154,1000,1,1000,144
111,55,110,77,156,1008295846,1000,1700,1000,30
112,56,113,54,196,12944952,1000,1,1000,144
113,56,112,196,54,250519048,1000,1,1000,144
114,57,115,54,145,23097150,1000,1,1000,144
115,57,114,145,54,226902850,1000,100,1000,144
116,58,117,62,194,99726306,850,84,0,142
117,58,116,194,62,900273694,1000,10,0,34
118,59,119,199,22,1929883,100,1,1000,44
119,59,118,22,199,95070117,0,1,1000,144
120,60,121,58,202,2231435,1000,1,0,144
121,60,120,202,58,109055565,0,1,1000,34
122,61,123,160,206,59518081,490,10,1000,14
123,61,122,206,160,640481919,1000,1,0,144
124,62,125,58,206,28318173,1000,1,1000,144
125,62,124,206,58,4971681827,1000,1,1000,144
126,63,127,207,40,2651327,0,10,1000,144
127,63,126,40,207,47348673,1000,1900,1000,144
128,64,129,87,119,100896661,1,19,1000,40
129,64,128,119,87,3773832339,490,1,1000,144
130,65,131,150,221,27431906,99,1,1000,144
131,65,130,221,150,407913094,1000,1,1000,144
132,66,133,33,206,36770678,0,0,1000,40
133,66,132,206,33,363229322,1000,1,1000,144
134,67,135,46,225,32455037,1000,1,1000,144
135,67,134,225,46,967544963,1000,100,1000,144
136,68,137,122,58,183132782,475,250,1000,144
137,68,136,58,122,1816867218,1000,1,1000,144
138,69,139,116,234,76326860,1000,1,1000,144
139,69,138,234,116,923673140,250,0,1000,1008
140,70,141,54,238,25211056,1000,1,1000,144
141,70,140,238,54,511758944,1000,1,1000,144
142,71,143,54,239,3345487,1000,1,1000,144
143,71,142,239,54,64192513,1000,1,1000,144
144,72,145,54,244,17366564,1000,1,1000,144
145,72,144,244,54,230477436,1000,1,1000,14
146,73,147,54,16,125724854,1000,1,1000,144
147,73,146,16,54,1874275146,0,1,1000,144
148,74,149,58,110,34765675,1000,1,1000,144
149,74,148,110,58,465234325,1000,1,1000,144
150,75,151,249,58,656876,1000,1,1000,144
151,75,150,58,249,77343124,1000,1,1000,144
152,76,153,24,253,1759007,800,1,1000,144
153,76,152,253,24,68479993,1000,1,1000,144
154,77,155,258,150,7223367,100,10,1000,72
155,77,154,150,258,342776633,99,1,1000,144
156,78,157,259,40,4237044,1000,10,1000,14
157,78,156,40,259,45762956,1000,1900,1000,144
158,79,159,212,261,70003667,0,1,1000,10
159,79,158,261,212,1929996333,1000,1,1000,144
160,80,161,262,54,20132040,1000,1,1000,144
161,80,160,54,262,263565960,1000,1,1000,144
162,81,163,62,192,37700950,850,84,1000,142
163,81,162,192,62,462299050,10000,1000,0,144
164,82,165,79,58,23739237,1000,1,1000,144
165,82,164,58,79,226260763,1000,1,1000,144
166,83,167,279,130,18251276,1000,1,1000,144
167,83,166,130,279,308677724,1,1,1000,40
168,84,169,24,280,1807230,800,1,1000,144
169,84,168,280,24,96875770,1000,1,1000,144
170,85,171,281,77,34778255,0,100,1000,24
171,85,170,77,281,1465221745,1000,1700,1000,30
172,86,173,250,282,167241673,1000,1,1000,40
173,86,172,282,250,1519366327,5,20,1000,40
174,87,175,10,283,22930425,1000,1,1000,144
